glottocode,name,level,glot_path,family
guan1277,Guanche,language,afro1255/berb1260/unun9880/guan1277,afro1255
unun9880,Unclassified Berber,family,afro1255/berb1260/unun9880,afro1255
west2724,Western Berber,family,afro1255/berb1260/west2724,afro1255
tets1235,Tetserret,language,afro1255/berb1260/west2724/tets1235,afro1255
zena1248,Zenaga,language,afro1255/berb1260/west2724/zena1248,afro1255
mbuk1243,Mbuko,language,afro1255/chad1250/bium1280/hurz1242/mbuk1243,afro1255
hurz1242,Hurza,family,afro1255/chad1250/bium1280/hurz1242,afro1255
dume1239,Dume (Vame),dialect,afro1255/chad1250/bium1280/hurz1242/vame1236/dume1239,afro1255
gwen1242,Pelasla,dialect,afro1255/chad1250/bium1280/hurz1242/vame1236/gwen1242,afro1255
hurz1243,Hurzo,dialect,afro1255/chad1250/bium1280/hurz1242/vame1236/hurz1243,afro1255
mber1261,Mberem,dialect,afro1255/chad1250/bium1280/hurz1242/vame1236/mber1261,afro1255
vame1236,Vame,language,afro1255/chad1250/bium1280/hurz1242/vame1236,afro1255
ndre1239,Ndreme,dialect,afro1255/chad1250/bium1280/hurz1242/vame1236/ndre1239,afro1255
bium1280,Biu-Mandara,family,afro1255/chad1250/bium1280,afro1255
bium1279,Musguic,family,afro1255/chad1250/bium1280/nort3156/bium1279,afro1255
mbar1260,Mbara (Chad),language,afro1255/chad1250/bium1280/nort3156/bium1279/musg1256/mbar1260,afro1255
musg1256,Musgu-Mbara,family,afro1255/chad1250/bium1280/nort3156/bium1279/musg1256,afro1255
musg1254,Musgu,language,afro1255/chad1250/bium1280/nort3156/bium1279/musg1256/musg1254,afro1255
beeg1236,Beege,dialect,afro1255/chad1250/bium1280/nort3156/bium1279/musg1256/musg1254/munj1246/beeg1236,afro1255
munj1246,Munjuk-Nord,dialect,afro1255/chad1250/bium1280/nort3156/bium1279/musg1256/musg1254/munj1246,afro1255
mpus1238,Mpus,dialect,afro1255/chad1250/bium1280/nort3156/bium1279/musg1256/musg1254/munj1246/mpus1238,afro1255
muzu1238,Muzuk,dialect,afro1255/chad1250/bium1280/nort3156/bium1279/musg1256/musg1254/munj1246/muzu1238,afro1255
vulu1239,Vulum,dialect,afro1255/chad1250/bium1280/nort3156/bium1279/musg1256/musg1254/munj1246/vulu1239,afro1255
munj1247,Munjuk-Sud,dialect,afro1255/chad1250/bium1280/nort3156/bium1279/musg1256/musg1254/munj1247,afro1255
musk1256,Muskum,language,afro1255/chad1250/bium1280/nort3156/bium1279/musk1256,afro1255
lamm1244,Lam,dialect,afro1255/chad1250/bium1280/nort3156/gida1247/lamm1244,afro1255
gida1247,Gidar,language,afro1255/chad1250/bium1280/nort3156/gida1247,afro1255
hyaa1239,Hya,language,afro1255/chad1250/bium1280/nort3156/higi1241/hyaa1239,afro1255
higi1241,Higic,family,afro1255/chad1250/bium1280/nort3156/higi1241,afro1255
gamb1258,Gamboura,dialect,afro1255/chad1250/bium1280/nort3156/higi1241/nkaf1238/bana1305/gamb1258,afro1255
gili1246,Gili,dialect,afro1255/chad1250/bium1280/nort3156/higi1241/nkaf1238/bana1305/gili1246,afro1255
bana1305,Bana,language,afro1255/chad1250/bium1280/nort3156/higi1241/nkaf1238/bana1305,afro1255
kamw1239,Kamwe,language,afro1255/chad1250/bium1280/nort3156/higi1241/nkaf1238/higi1242/kamw1239,afro1255
